order_year_month,product_category,total_items,total_revenue,total_freight,avg_item_price
2016-09,furniture_decor,2,72.89,63.34,36.445
2016-09,health_beauty,3,134.97,8.49,44.99
2016-09,telephony,1,59.5,15.56,59.5
2016-10,air_conditioning,10,1707.09,197.82,170.709
2016-10,audio,2,156.99,26.04,78.495
2016-10,auto,12,1833.25,424.31,152.770833333333
2016-10,baby,14,1630.16,188.92,116.44
2016-10,bed_bath_table,8,478.99,127.59,59.87375
2016-10,books_general_interest,1,119.5,25.04,119.5
2016-10,books_technical,1,267.0,32.84,267.0
2016-10,computers_accessories,21,1399.32,340.77,66.6342857142857
2016-10,consoles_games,10,3882.26,207.16,388.226
2016-10,cool_stuff,8,1111.0,216.11,138.875
2016-10,diapers_and_hygiene,1,134.9,16.09,134.9
2016-10,electronics,2,1306.99,40.58,653.495
2016-10,fashio_female_clothing,1,54.9,14.73,54.9
2016-10,fashion_bags_accessories,9,508.3,148.19,56.4777777777778
2016-10,fashion_male_clothing,1,24.9,10.96,24.9
2016-10,fashion_shoes,1,29.99,10.96,29.99
2016-10,fixed_telephony,5,704.88,69.57,140.976
2016-10,food,1,79.9,16.33,79.9
2016-10,furniture_decor,67,5807.89,1244.39,86.6849253731343
2016-10,garden_tools,5,1359.88,105.31,271.976
2016-10,health_beauty,48,4552.51,940.87,94.8439583333333
2016-10,housewares,12,1287.07,255.47,107.255833333333
2016-10,industry_commerce_and_business,4,359.6,73.96,89.9
2016-10,market_place,13,1306.19,272.99,100.476153846154
2016-10,office_furniture,6,1300.88,286.67,216.813333333333
2016-10,perfumery,33,5688.7,535.14,172.384848484848
2016-10,pet_shop,4,689.68,86.18,172.42
2016-10,sports_leisure,19,3333.64,593.47,175.454736842105
2016-10,telephony,10,500.08,133.9,50.008
2016-10,toys,27,4465.09,520.99,165.373703703704
2016-10,unknown,2,65.89,30.03,32.945
2016-10,watches_gifts,5,3360.24,107.8,672.048
2016-12,fashion_bags_accessories,1,10.9,8.72,10.9
2017-01,agro_industry_and_commerce,3,65.97,41.79,21.99
2017-01,air_conditioning,4,663.7,74.66,165.925
2017-01,auto,34,5218.53,625.68,153.486176470588
2017-01,baby,41,6397.87,742.06,156.045609756098
2017-01,bed_bath_table,48,3960.16,857.11,82.5033333333333
2017-01,books_general_interest,2,234.89,36.66,117.445
2017-01,computers,1,2199.99,18.0,2199.99
2017-01,computers_accessories,31,3924.14,453.46,126.585161290323
2017-01,consoles_games,23,5954.2,439.33,258.878260869565
2017-01,construction_tools_construction,1,310.0,25.0,310.0
2017-01,cool_stuff,40,7784.87,945.99,194.62175
2017-01,dvds_blu_ray,2,29.8,18.0,14.9
2017-01,electronics,11,617.0,155.43,56.0909090909091
2017-01,fashio_female_clothing,2,77.3,25.51,38.65
2017-01,fashion_bags_accessories,35,1671.97,464.64,47.7705714285714
2017-01,fashion_male_clothing,1,126.9,32.21,126.9
2017-01,fashion_shoes,1,34.9,14.11,34.9
2017-01,fashion_underwear_beach,2,137.25,33.9,68.625
2017-01,fixed_telephony,22,677.12,292.44,30.7781818181818
2017-01,food,2,42.82,36.0,21.41
2017-01,furniture_bedroom,8,73.2,75.56,9.15
2017-01,furniture_decor,182,13521.31,2940.44,74.2929120879121
2017-01,furniture_living_room,10,1241.9,277.32,124.19
2017-01,garden_tools,58,8152.75,1072.42,140.564655172414
